Analysis Id,Sample Id,Sample,Fixed,Lat,Long,Dist,Bearing,Direction,Collection,Source,Description,Weight,Depth,Surface_Area,Shape,Uncertainty,MDA,Method,Nuclide,Result,Result
197681,8993,SCF-08759,FALSE,37.585847,140.758208,18.86124034,307.1647474,NW,4/17/2011 15:08,DOE,"Field Team: Exposure rate in collection area - 6 mr/hr with RO-20. ; Description: AMS Falserth Box - Flat Area, bare soil. Location #4. ;",250,2,100,,7.68E-06,0,Gamma Spectroscopy,Te-132,1.21E-10,0%
197683,8993,SCF-08759,FALSE,37.585847,140.758208,18.86124034,307.1647474,NW,4/17/2011 15:08,DOE,"Field Team: Exposure rate in collection area - 6 mr/hr with RO-20. ; Description: AMS Falserth Box - Flat Area, bare soil. Location #4. ;",250,2,100,,2.62E-08,3.46E-08,GP Counting,Sr-90,1.68E-07,2%
197685,8993,SCF-08759,FALSE,37.585847,140.758208,18.86124034,307.1647474,NW,4/17/2011 15:08,DOE,"Field Team: Exposure rate in collection area - 6 mr/hr with RO-20. ; Description: AMS Falserth Box - Flat Area, bare soil. Location #4. ;",250,2,100,,8.50E-08,3.46E-08,GP Counting,Sr-Total,1.44E-06,14%
197687,8993,SCF-08759,FALSE,37.585847,140.758208,18.86124034,307.1647474,NW,4/17/2011 15:08,DOE,"Field Team: Exposure rate in collection area - 6 mr/hr with RO-20. ; Description: AMS Falserth Box - Flat Area, bare soil. Location #4. ;",250,2,100,,2.62E-08,3.46E-08,GP Counting,Sr-89,2.14E-06,21%
197689,8993,SCF-08759,FALSE,37.585847,140.758208,18.86124034,307.1647474,NW,4/17/2011 15:08,DOE,"Field Team: Exposure rate in collection area - 6 mr/hr with RO-20. ; Description: AMS Falserth Box - Flat Area, bare soil. Location #4. ;",250,2,100,,9.16E-07,7.37E-07,Gamma Spectroscopy,Ba-140,5.97E-06,60%
197691,8993,SCF-08759,FALSE,37.585847,140.758208,18.86124034,307.1647474,NW,4/17/2011 15:08,DOE,"Field Team: Exposure rate in collection area - 6 mr/hr with RO-20. ; Description: AMS Falserth Box - Flat Area, bare soil. Location #4. ;",250,2,100,,1.75E-06,1.88E-06,Gamma Spectroscopy,Cs-136,2.72E-05,272%
197693,8993,SCF-08759,FALSE,37.585847,140.758208,18.86124034,307.1647474,NW,4/17/2011 15:08,DOE,"Field Team: Exposure rate in collection area - 6 mr/hr with RO-20. ; Description: AMS Falserth Box - Flat Area, bare soil. Location #4. ;",250,2,100,,3.68E-05,1.21E-05,Gamma Spectroscopy,I-131,0.000798779,7988%
197695,8993,SCF-08759,FALSE,37.585847,140.758208,18.86124034,307.1647474,NW,4/17/2011 15:08,DOE,"Field Team: Exposure rate in collection area - 6 mr/hr with RO-20. ; Description: AMS Falserth Box - Flat Area, bare soil. Location #4. ;",250,2,100,,5.37E-05,4.66E-07,Gamma Spectroscopy,Cs-137,0.000889532,8895%
197697,8993,SCF-08759,FALSE,37.585847,140.758208,18.86124034,307.1647474,NW,4/17/2011 15:08,DOE,"Field Team: Exposure rate in collection area - 6 mr/hr with RO-20. ; Description: AMS Falserth Box - Flat Area, bare soil. Location #4. ;",250,2,100,,2.27E-05,6.81E-07,Gamma Spectroscopy,Cs-134,0.000920131,9201%
197879,9023,SCF-08774,FALSE,37.283033,140.251686,44.03229229,257.6707906,WSW,4/20/2011 13:00,DOE,Field Team: location one ;,,2,100,Square & Flat,5.66E-06,8.16E-06,Gamma Spectroscopy,Te-129m,-4.71E-06,-47%
